User ID,Post ID,Plastic Type,Item Location,Quantity,Starting Price,Industry,User Interaction Type
U1,P337,SPI 6,Batticaloa,113,856,Manufacturing,bid
U18,P337,SPI 6,Batticaloa,113,856,Manufacturing,bid
U56,P337,SPI 6,Batticaloa,113,856,Manufacturing,bid
U104,P337,SPI 6,Batticaloa,113,856,Manufacturing,bid
U156,P337,SPI 6,Batticaloa,113,856,Manufacturing,bid
U178,P337,SPI 6,Batticaloa,113,856,Manufacturing,bid
U1,P552,SPI 4,Veyangoda,157,811,Other,bid
U55,P552,SPI 4,Veyangoda,157,811,Other,bid
U84,P552,SPI 4,Veyangoda,157,811,Other,bid
U132,P552,SPI 4,Veyangoda,157,811,Other,view
U158,P552,SPI 4,Veyangoda,157,811,Other,bid
U193,P552,SPI 4,Veyangoda,157,811,Other,bid
U1,P43,SPI 5,Udugampola,177,461,Manufacturing,view
U17,P43,SPI 5,Udugampola,177,461,Manufacturing,view
U20,P43,SPI 5,Udugampola,177,461,Manufacturing,view
U92,P43,SPI 5,Udugampola,177,461,Manufacturing,bid
U97,P43,SPI 5,Udugampola,177,461,Manufacturing,view
U151,P43,SPI 5,Udugampola,177,461,Manufacturing,view
U180,P43,SPI 5,Udugampola,177,461,Manufacturing,bid
U200,P43,SPI 5,Udugampola,177,461,Manufacturing,bid
U1,P57,SPI 6,Galle,50,841,Construction,bid
U15,P57,SPI 6,Galle,50,841,Construction,view
U32,P57,SPI 6,Galle,50,841,Construction,bid
U103,P57,SPI 6,Galle,50,841,Construction,view
U111,P57,SPI 6,Galle,50,841,Construction,bid
U114,P57,SPI 6,Galle,50,841,Construction,bid
U119,P57,SPI 6,Galle,50,841,Construction,bid
U138,P57,SPI 6,Galle,50,841,Construction,view
U152,P57,SPI 6,Galle,50,841,Construction,view
U176,P57,SPI 6,Galle,50,841,Construction,bid
U193,P57,SPI 6,Galle,50,841,Construction,bid
U1,P138,SPI 2,Batticaloa,180,211,Recycling,view
U5,P138,SPI 2,Batticaloa,180,211,Recycling,view
U24,P138,SPI 2,Batticaloa,180,211,Recycling,bid
U28,P138,SPI 2,Batticaloa,180,211,Recycling,view
U29,P138,SPI 2,Batticaloa,180,211,Recycling,view
U51,P138,SPI 2,Batticaloa,180,211,Recycling,bid
U84,P138,SPI 2,Batticaloa,180,211,Recycling,bid
U87,P138,SPI 2,Batticaloa,180,211,Recycling,bid
U89,P138,SPI 2,Batticaloa,180,211,Recycling,view
U97,P138,SPI 2,Batticaloa,180,211,Recycling,bid
U103,P138,SPI 2,Batticaloa,180,211,Recycling,view
U112,P138,SPI 2,Batticaloa,180,211,Recycling,view
U144,P138,SPI 2,Batticaloa,180,211,Recycling,bid
U158,P138,SPI 2,Batticaloa,180,211,Recycling,view
